0,1,2,3,4,5,6,7,8,9
$phi$,CO2,CO,H2O,H2,OH,O2,N2,H,O
0.05,0.005222468843561407,4.1272885251613996e-16,0.010401816663523094,1.8325062287411956e-14,8.624203840422582e-05,0.19843225510994095,0.7858572164597784,8.760210014583156e-12,8.760130009645335e-10
0.06,0.006260417236740804,3.7839063609761964e-16,0.012475713296662054,1.6803797198669466e-14,9.024234430206109e-05,0.19613717903556985,0.7850364471469101,9.304952356058777e-12,9.304930797863998e-10
0.07,0.007296219863754936,4.4341195945827283e-16,0.014550829664011406,1.9696899990127725e-14,8.322011816913464e-05,0.1938501794843757,0.7842195499818706,8.790175035407862e-12,8.790079523089011e-10
0.08,0.008322037827922926,3.2334560908262097e-15,0.014726199100591055,9.575252941552052e-15,0.003835726745479651,0.1904477232739274,0.7826678433405763,2.636502267677424e-08,4.4334646721315765e-07
0.09,0.009360926925218829,1.7528760227928287e-17,0.01859226517898011,7.83010652799283e-16,0.00025917732106431346,0.18923394923576406,0.7825536794627397,2.1849294687680273e-11,1.8543829233927164e-09
0.1,0.010390660641385944,3.7667801603603716e-16,0.020736099081722473,1.6737254371071936e-14,9.044439202708193e-05,0.1870092799474749,0.7817735149233516,1.0039788324305987e-11,1.0039811330715821e-09
0.11,0.011411996340804165,2.6214342884669873e-17,0.02175125459744509,8.98229730950059e-16,0.0021454761032356855,0.18413047752281966,0.7805607886783817,6.508882669487378e-11,6.692224057751623e-09
0.12,0.012442444729917448,4.577969555299392e-17,0.024761007939281796,2.0332562812321945e-15,0.00024776302081935543,0.18242724760784113,0.7801215346535572,2.0282956214128258e-11,2.0282981590624865e-09
0.13,0.013465541988511173,8.152412682843045e-17,0.026835354924260285,3.621067495737616e-15,0.00019145808729574397,0.18018323503327568,0.7793244081262924,1.8221462330282013e-11,1.8221395092369622e-09
0.14,0.014485970730142076,9.450756698768288e-16,0.0288242564934661,4.195495728007957e-14,0.00029536991200541945,0.17789665401750848,0.7784977467219718,2.1550575039099595e-11,2.1033126755736314e-09
0.15,0.015505262158843349,1.67525164943504e-16,0.030943229063419047,7.44413000248579e-15,0.00013459049339949327,0.1756926560912482,0.7777242606658019,1.5121595308883243e-11,1.5121586279901221e-09
0.16,0.016522073205286876,4.30760062547586e-16,0.033001770716186624,1.9146880715540316e-14,8.47513780928613e-05,0.17346058028142708,0.7769308233438673,1.0644815463293945e-11,1.064474855772607e-09
0.17,0.01752966965125327,3.551509000327373e-11,0.03422916359289161,1.5482515056587622e-09,0.0016603302746791174,0.17075608214874732,0.7758229159804059,1.8178971050505244e-08,1.8185892852022065e-06
0.18,0.018546372852047358,1.7340165090773287e-15,0.03676464732042654,7.642310087323676e-14,0.0006561965878361472,0.16881400568606444,0.7752187594242631,1.7935382868843124e-10,1.7949930450446526e-08
0.19,0.01955596028486741,2.6119899299499635e-19,0.038721115429554115,1.4611462209269742e-17,0.0007816102556812528,0.1665448890976858,0.7743964223080327,2.4680133391319397e-11,2.5994985927106796e-09
0.2,0.020567031309938835,6.715970680115078e-17,0.04103301400827477,2.984141387855204e-15,0.00020209720233200975,0.16448572514074522,0.7737121302310348,2.0868098741182307e-11,2.0868030863781824e-09
0.21,0.021573720554086004,2.726636611043596e-16,0.043094933894832,1.2120159178746728e-14,0.00010501441258522499,0.1622903098656394,0.7729360198516173,1.4071622529093655e-11,1.4071561098164728e-09
0.22,0.02257661209583974,9.631313873842312e-19,0.04499148073582618,4.313795109010422e-17,0.00032348688674463085,0.16000783104453725,0.7721005868274198,2.4961902851371522e-11,2.3846704843738083e-09
0.23,0.023579859505148033,2.283988605052982e-16,0.04710283546276873,1.0152659389481653e-14,0.00011376707948387659,0.15785409501266587,0.7713494413692393,1.5551413844565392e-11,1.5551325165355007e-09
0.24,0.024579796604241432,1.8304376128748605e-16,0.049096696409447166,8.136433847235469e-15,0.0001257935810327389,0.15564059591804197,0.770557115767892,1.702312750040393e-11,1.7023134076371178e-09
0.25,0.02557447856101243,4.0722156812746424e-17,0.05082961705913535,1.8104272672525716e-15,0.0006386800982530815,0.15328719989794365,0.7696700214552323,2.7522487964781755e-11,2.900898875926507e-09
0.26,0.0265740520042403,6.797392365679675e-16,0.05311320578601857,3.021978827605503e-14,6.979643376369885e-05,0.15125023097874543,0.7689927136758379,1.1102644833440393e-11,1.1102606361354763e-09
0.27,0.027566774819486207,3.9755925085586507e-17,0.05501312080689841,1.7667299638715972e-15,0.00024085763921812955,0.1490045667073241,0.7681746775094933,2.4926532491397247e-11,2.492651605704157e-09
0.28,0.02855902928335467,7.790897805006706e-17,0.05702722713407952,3.46287797472161e-15,0.0001816628425850882,0.14682959090459663,0.7674024875459268,2.2667911093748738e-11,2.2667861513122933e-09
0.29,0.029548957038386645,9.250766684172077e-17,0.0590140266768977,4.111978209930608e-15,0.00016777477754734464,0.14464605173415682,0.7666231875312158,2.219595468535456e-11,2.2195953687433004e-09
0.3,0.030537476146854193,5.73402290266688e-16,0.06103728030957385,2.549272268530836e-14,7.534395516410004e-05,0.14248938538033132,0.7658605128893735,1.3056265490313696e-11,1.3056206668124456e-09
0.31,0.0315226979390192,1.1213481496099502e-16,0.06296931556325751,4.984739379032395e-15,0.00015216060768642086,0.14028880765008242,0.7650670160314978,2.186580080866697e-11,2.1865856751415156e-09
0.32,0.03250723073717695,1.8764063516330845e-18,0.06498313473986117,8.366111032376762e-17,6.265345665943757e-05,0.13814006665562828,0.7643069131657675,1.232583239414071e-11,1.2325807395766633e-09
0.33,0.0334890159411614,7.466451499942182e-16,0.06694399817779156,3.3195757405696447e-14,6.806739611469276e-05,0.1359686836044025,0.7635302335791658,1.2884364919591882e-11,1.2884456833506084e-09
0.34,0.034459067487923066,3.1644699256410706e-17,0.06831624980931854,1.395036350463089e-15,0.0012037702557354617,0.1334813152332907,0.7625395886683283,7.73174117553608e-11,8.46808526845505e-09
0.35,0.0354466647589915,6.301623444901898e-16,0.0708568514544749,2.8017014707048164e-14,7.295611257707274e-05,0.13164080078958484,0.7619827254313956,1.4385613543440695e-11,1.4385619313776507e-09
0.36,0.03641910585619812,1.2576292748756268e-16,0.07261324439529018,5.5874597431853836e-15,0.00044993460321007876,0.12937766893670022,0.7611400430263654,3.0991300755476864e-11,3.1512389203810293e-09
0.37,0.03738150673156377,8.587521866460654e-13,0.07392824234874759,3.77601431222273e-11,0.0016695389383254756,0.12688164057152942,0.7601387469397852,3.2183347851505958e-09,3.212130949591183e-07
0.38,0.03836814556293095,3.079765074479839e-16,0.07668790063210068,1.3692472905551154e-14,9.67809682613534e-05,0.1251771209011002,0.7596700499928745,1.923492765146665e-11,1.9234833361260763e-09
0.39,0.039335859421293966,6.4603671153649415e-18,0.07850873559192563,2.872479212453523e-16,0.000325966476192269,0.12296914426112035,0.7588602916440107,2.5131807044564224e-11,2.5803249994006373e-09
