0,1,2,3,4,5,6,7,8,9,10
$phi$,$T_ad$,H,H2,O,O2,OH,H2O,HO2,H2O2,N2
0.5,1645.0910631728298,6.612205339531665e-08,3.002018529444207e-06,3.294516534117006e-06,0.09497067004685132,0.00018632521315340775,0.1899392278929328,6.634478124472197e-07,6.938852775490743e-08,0.7148966813536053
0.51,1665.9088366247643,9.2227381313557e-08,3.889728074976904e-06,4.1189325195937705e-06,0.09288614438234945,0.00021349585231798088,0.19335624675706178,7.544100368935906e-07,7.876410149255638e-08,0.7135351789461565
0.52,1686.523872993115,1.8178110580568814e-08,5.029922183142897e-06,5.136614122522449e-06,0.09080722769542487,0.00024839222057423266,0.19675539072169385,8.364707921246496e-07,4.794010975944316e-07,0.7121774887760012
0.53,1706.5497159336214,1.87980458536907e-07,6.630610823442839e-06,6.28326599451598e-06,0.08871003334694742,0.0003819507606605718,0.2000874254394726,6.914443594261037e-07,7.139658524638769e-08,0.7108067257546982
0.54,1723.3033242583974,3.3278842279490266e-08,5.325395457316766e-07,4.930515627725498e-06,0.08641460509350493,0.0012661781872924248,0.20300149592193026,2.5223489611337324e-07,9.804072139019452e-08,0.7093118741876392
0.55,1744.2213603833573,3.459969205647363e-08,3.3118613671680317e-07,8.759744085993423e-06,0.08440828273120195,0.0011143447878931307,0.2064656144284179,3.643372649122885e-07,1.0124628489528901e-07,0.7080021669390225
0.56,1757.9715168012788,2.0990526423539994e-07,6.620887469585496e-07,3.4288615745252338e-06,0.08196180830869965,0.002636626932751935,0.20899250169222755,1.774145837470948e-07,1.3673576500041672e-07,0.7064044480603864
0.57,1786.7836713284487,5.646597139499639e-07,1.5860224948067766e-05,1.342611678629859e-05,0.0805105706582343,0.0005003152426303487,0.21351030814075098,1.2986556293071172e-06,1.3151275607936202e-07,0.7054475247885507
0.58,1806.2816325787765,7.42904701028161e-07,1.9650215748720396e-05,1.6006746497355442e-05,0.07847025010375824,0.0005668733194626103,0.21681202951602727,1.4052778609468385e-06,1.4176598475828237e-07,0.7041129001499591
0.59,1825.5572569529547,9.332118182825671e-07,2.191483450761763e-05,1.8841924023072726e-05,0.07643162506259016,0.0006524752137103934,0.22009222518156102,1.4851359235256847e-06,1.4850485969956055e-07,0.7027803509310061
0.6,1842.178731260077,1.9724629205767565e-06,6.869737891817774e-05,1.9640205732387728e-05,0.07427935414612363,0.0012724272249286849,0.22301312185849637,8.935445829672305e-07,2.6948516270732814e-07,0.7013436236931345
0.61,1860.5727498106235,2.561687944528234e-06,9.694505296919579e-05,6.177398735481093e-05,0.07223660518191531,0.00139803987503658,0.22621188980172807,9.703808890198086e-07,1.4314544250851905e-07,0.69999107088672
0.62,1882.619852368437,2.023697988242003e-06,4.3204806914228274e-05,3.0035566572802122e-05,0.0703816504313858,0.0008525454066137244,0.22987226912323805,1.969483854997939e-06,1.9779039395052383e-07,0.6988161036930381
0.63,1901.2385578765832,2.581191478011134e-06,5.2345800825090806e-05,3.4938912580251435e-05,0.06837448941444038,0.0009413046230753614,0.2330926011940455,2.1131955138350035e-06,2.116601929365015e-07,0.6974994140078487
0.64,1919.6604884767132,3.216288198274724e-06,6.237326420858334e-05,3.994990500841293e-05,0.06637199565930138,0.001041983417212719,0.23629287331326768,2.2468678000062876e-06,2.2565242211093494e-07,0.6961851356325808
0.65,1937.8893331506258,3.999310314551921e-06,7.421826102832515e-05,4.558955620828483e-05,0.06437505524962166,0.0011518049676880842,0.23947351863361174,2.3773534370751948e-06,2.3924666649687467e-07,0.6948731974214238
0.66,1955.922105199417,4.962527897952119e-06,8.819046610197456e-05,5.192025645944036e-05,0.06238360727199608,0.001271373293036675,0.24263385474737495,2.503534940111421e-06,2.5234455301783316e-07,0.6935633355576398
0.67,1973.755412796632,6.144669151889736e-06,0.00010464855503951061,5.9007388078544295e-05,0.06039761534478339,0.0014012970030990834,0.24577313198561365,2.6243169167705183e-06,2.64753260932083e-07,0.6922552659840562
0.68,1991.3854424203028,7.592086306588952e-06,0.0001240072565277227,6.691874683680183e-05,0.058417073640584,0.0015421817137190948,0.2488905283188699,2.7386465881360398e-06,2.7643928013825525e-07,0.6909486831512875
0.69,2008.8915611492434,9.280038727809546e-06,0.00014585495142089514,7.526778859910362e-05,0.05644662614070681,0.0016763246847679991,0.2519965480299407,2.8790580893929204e-06,2.914487713189986e-07,0.689646927858976
0.7,2026.2867693442677,1.1228339994264074e-05,0.00017035063172996505,8.399509463631145e-05,0.054487138223604605,0.0018007027843733783,0.2550927767317649,3.0479279282606267e-06,3.1012488635425513e-07,0.688350450141082
0.71,2043.4931904789728,1.3562202674444483e-05,0.0001987599872823124,9.35504843488421e-05,0.05253459633929998,0.0019319691284539057,0.25816832312400995,3.2127020166984916e-06,3.284430218250608e-07,0.687055697588892
0.72,2060.50766377649,1.635268427996357e-05,0.00023167833191067402,0.0001039820470838644,0.05058923101549865,0.0020702316487342535,0.2612224214509786,3.3719403561120194e-06,3.4626693343921976e-07,0.6857623846142245
0.73,2077.3265690567487,1.9682797081603814e-05,0.0002697874348804219,0.00011533492960424492,0.048651331978599575,0.00221555703174771,0.26425421813648525,3.5242003806077133e-06,3.6346299101191585e-07,0.6844702000282296
0.74,2093.945784859163,2.3649138089689318e-05,0.0003138676047010169,0.0001276497169391668,0.04672125770430477,0.0023679623137973943,0.2672627613773549,3.6680141839543806e-06,3.7985363544840845e-07,0.6831788042769936
