0,1,2,3,4,5,6,7,8,9,10,11,12
$phi$,CO2,CO,H2O,H2,OH,O2,N2,NO,C3H8,H,O,N
0.6,6.341796358644436e-09,4.005491744816499e-12,2.4841722366106184e-08,1.7329898268138165e-23,0.07901431405797474,0.15455540720467864,0.7397300905649569,0.006762055710151913,0.019753584622917406,1.3345758488511487e-10,0.0001845130568892849,3.4614493130641197e-09
0.61,0.011446662114806152,2.6624490245944837e-05,0.05479045969732933,2.8138917250033934e-05,0.0012233092375728578,0.1576758308587521,0.751489108720627,0.00688404831087623,0.016243360834736164,6.083292421434179e-06,0.00018636637859638193,7.146786233616364e-09
0.62,1.5206212815402707e-08,1.5896634569422814e-12,2.706922315496889e-08,5.571471303737156e-23,0.07901433281232806,0.1545553867920695,0.7397300870549407,0.0067620552475661806,0.019753581539331325,3.776083779285799e-11,0.00018451304470468085,1.194273208073953e-09
0.63,1.0418246383952878e-06,6.191489050101018e-12,1.4584595787033302e-06,1.6531147462043024e-15,0.07901418261097226,0.1545536770838172,0.739729867893908,0.006762016844479605,0.01975323311118306,2.379178144963895e-10,0.0001845120243923294,9.90291970890049e-09
0.64,1.6752222881720523e-08,2.6692300111247563e-13,2.3110937286415377e-07,2.956796035327079e-24,0.07901393674923973,0.15455549968254012,0.7397301604794968,0.006762058052734954,0.019753583010498288,8.396691638325949e-11,0.0001845131120907597,9.67569883313208e-10
0.65,7.181289706142837e-09,5.6663557753871776e-12,2.043727807412229e-08,4.928367220270727e-24,0.07901432487498858,0.15455540260960993,0.7397300883192325,0.00676205559936661,0.01975358428201024,1.2632048556593324e-10,0.00018451305414641627,3.510091562554472e-09
0.66,3.8008408659558665e-08,2.2935994382752224e-13,4.920694800534201e-08,1.3863398836800982e-24,0.07901434846981724,0.1545553433581376,0.7397300794856277,0.006762054262816382,0.01975357371503809,1.0991111858176969e-11,0.00018451301877829093,4.6320737769536625e-10
0.67,2.2316156024235462e-08,3.748812811529399e-12,3.9927361655570086e-08,6.567829369041017e-22,0.07901432595562662,0.1545553765890664,0.7397300860236511,0.006762055019653382,0.019753579147804207,6.048617714128422e-11,0.00018451303861434954,1.9178313436952904e-09
0.68,2.873444609593062e-06,3.712352634153483e-11,4.252767810746081e-06,5.448556962000219e-15,0.079013443737675,0.1545507648974911,0.7397295732716184,0.006761951790749408,0.019752613937899677,4.0522402326770545e-10,0.0001845102853210825,1.542447231207164e-08
0.69,3.3925924398555257e-09,6.64050834244509e-13,3.428812289675284e-08,4.9108388212446443e-23,0.0790142876127936,0.15455542010569853,0.739730097109178,0.0067620560222836044,0.019753585768166316,4.566517671059948e-10,0.0001845130645901044,2.1792584745739235e-09
0.7,0.030540765667566444,7.978813457485441e-05,0.07995572188822003,4.6121979686899945e-05,0.0013943786281420095,0.12498364953614349,0.7469842183724189,0.006110578311178275,0.009730909846833247,7.788231938803062e-06,0.00016592491473833097,1.544885585247897e-07
0.71,7.9013202764968e-08,3.361552089007586e-13,1.0190219054028952e-07,9.768519192066736e-26,0.07901435122013012,0.15455527248494802,0.7397300687557165,0.006762052663364139,0.019753559750093474,3.0018279311750393e-11,0.0001845129764729841,1.2035271142555577e-09
0.72,0.045689789831484334,7.626134560810894e-06,0.07654638436850857,2.8206347590276973e-06,0.04654227596745798,0.08618577412605628,0.734852616988928,0.005036246431216233,0.004368608499162673,0.0006234088815898963,0.00013794636019372802,6.501776082219941e-06
0.73,2.88443184297539e-09,1.6320074881398757e-12,1.0518219573127689e-08,2.2852375459097497e-25,0.0790143333410294,0.15455540764837633,0.7397300895275819,0.006762055715116717,0.019753585722917123,5.845537104565548e-11,0.00018451305715413494,1.525085380755783e-09
0.74,1.5448094343570226e-06,2.8164364851931312e-11,2.1573023994619828e-06,3.9220833746283166e-15,0.07901411349778298,0.15455283757967528,0.7397297543040114,0.0067619979603353465,0.01975306230868703,4.825527867512319e-10,0.00018451152416310902,2.020278987233022e-08
0.75,8.334448592851731e-09,4.3703219465320835e-12,2.5501139757668744e-08,1.9957554989723937e-23,0.07901431793404809,0.1545554026793823,0.7397300894688051,0.006762055606147203,0.01975358392677146,1.2603390719818424e-10,0.00018451305418806506,3.364665031940258e-09
0.76,1.643623753731187e-06,5.508590475008679e-12,2.117263500906045e-06,7.739535397216175e-15,0.07901444815817546,0.1545525715932461,0.7397296725633994,0.0067619917680152705,0.019753027073257327,1.248821277868506e-10,0.00018451136435583424,1.6461897454545424e-08
0.77,2.677436365309116e-08,1.2081823288903628e-11,6.29926062889525e-08,1.3394838584677283e-20,0.07901429182822393,0.15455537840488276,0.7397300858184034,0.00676205505843776,0.019753577735661883,2.749929636766599e-10,0.0001845130396982278,8.060647521860046e-09
0.78,2.195295747966611e-09,5.633065785049679e-13,9.487297294705334e-09,3.7308577445267684e-18,0.07901433322058966,0.1545554086747606,0.7397300874213069,0.006762055727942861,0.01975358592976062,3.072944396339013e-10,0.00018451305776680423,3.977421733362927e-09
0.79,0.00890402774390924,2.0430051100302544e-05,0.05144380160440672,2.606249584308161e-05,0.0011934660115023238,0.16203323679487036,0.7520925543177087,0.006981322465232128,0.01711030439382817,5.8545433489809376e-06,0.00018892396682635955,1.5611423353078073e-08
0.8,8.01950009831152e-09,1.689543749433961e-13,7.567045625158878e-08,2.895409613135477e-16,0.07901421825135677,0.15455543210375994,0.7397301055337508,0.006762056323256702,0.019753584504952505,5.062164900248695e-10,0.00018451307175193404,6.014829078551965e-09
