0,1,2,3,4,5,6,7,8,9,10,11
$phi$,$T_ad$,CO2,CO,H2O,H2,OH,O2,N2,H,O,h_prod
0.12,629.0173544858194,0.01244267821671926,1.1575429645421044e-12,0.0247991281737017,1.0109977646695242e-10,0.00017245506694857246,0.1824494377131278,0.7801361739779434,1.2549505670072839e-09,1.2549435123435403e-07,1567030.4641745233
0.14,681.0779977937191,0.014486433643507228,1.0830217711243674e-12,0.028889191020493164,5.792323700933432e-11,0.00016735139739417612,0.17793429600675326,0.7785226244370977,1.0241140283910926e-09,1.0241163406355554e-07,1476871.0931845822
0.16,732.1032193583737,0.016521725237699965,2.966795840337042e-12,0.032959089054998135,9.907459765104995e-11,0.00016872131162079892,0.1734358679426689,0.7769144607218023,1.3428639044113015e-09,1.342863046660308e-07,1411212.0457219905
0.18,781.9634845549697,0.018548471346079246,6.225278960245653e-12,0.03699523195496872,1.3159069167172466e-10,0.00020341979809952216,0.1689462570112933,0.7753064745143305,1.4380018322102734e-09,1.4379941094524267e-07,1361333.6678421935
0.2,831.1647629563133,0.020567172649923672,7.899860629762348e-12,0.0410471868796937,1.0630506483385789e-10,0.0001743151951753079,0.1644937296808107,0.7737174476038375,1.4641212967718513e-09,1.4641223291728183e-07,1323028.7667262002
0.22,878.2850449247672,0.022576306715335216,2.981441952495345e-11,0.044964032635701014,2.6080793630817286e-10,0.0003771590788368098,0.15999214420909383,0.7720901440979091,2.108642135349407e-09,2.1086385955329017e-07,1290175.2186010226
0.24,925.1867833624445,0.02457783266093013,5.083743578685535e-11,0.048933204628664066,2.897528593975564e-10,0.0004449187331580853,0.15554826439731692,0.7704955492964158,2.2766762853171873e-09,2.2766624842898978e-07,1263770.1833075224
0.26,972.4217908844842,0.02657271729040634,6.578142553716758e-11,0.053010301082071484,2.434036318077119e-10,0.0002702646811507518,0.15119241328749417,0.7689540919925006,2.0926526278828396e-09,2.0926453900890447e-07,1242575.7098861528
0.28,1018.6957027849147,0.028559354718573265,1.3026269192408832e-10,0.05705093622674448,3.5210542887383263e-10,0.00013554233206143523,0.14684266882768973,0.7674112357339201,3.905562274228873e-09,2.577730806382959e-07,1223073.2912889803
