0,1,2,3,4,5,6,7,8,9,10,11
$phi$,$T_ad$,CO2,CO,H2O,H2,OH,O2,N2,H,O,h_prod
0.1,575.9646886117648,0.010390432381420265,6.649981209627544e-13,0.020691833584278622,9.723126040395015e-11,0.0001780609127320386,0.18698320538026955,0.7817563411284102,1.2526236777395021e-09,1.2526236933916154e-07,30.609323320516772
0.11,602.5811421760721,0.011417602126128915,9.476286121635983e-13,0.02274450143301031,1.0684792108285463e-10,0.00018140412636322815,0.18471214592913113,0.7809442147524869,1.3022356434449064e-09,1.3022284840075658e-07,30.799532604782833
0.12,602.5811421760721,0.011417602126128915,9.476286121635983e-13,0.02274450143301031,1.0684792108285463e-10,0.00018140412636322815,0.18471214592913113,0.7809442147524869,1.3022356434449064e-09,1.3022284840075658e-07,30.818271818006814
0.13,655.1676080744924,0.013465610615894352,8.928619460049619e-13,0.026845786030388473,6.091559661453761e-11,0.0001708692646689136,0.18018925100060626,0.7793283800191954,1.0198723628621323e-09,1.0198756577587975e-07,31.202238041217846
0.14,681.0056759160532,0.014486382678882513,1.618031540682041e-12,0.028882071155810696,8.660189644261514e-11,0.00018138703594962035,0.17793015217348537,0.7785198855504566,1.2011681520303406e-09,1.2011602698080028e-07,31.412249601833338
0.15,706.6719088751954,0.015505098145423911,2.47377713289443e-12,0.03092188066838341,1.0453523063901659e-10,0.00017662969961551952,0.17568022133421465,0.777716034085027,1.3461379600670116e-09,1.3461418857009172e-07,31.62785907449428
0.16,731.8151953562649,0.016521490870127737,4.6369479477548125e-12,0.032930261375191776,1.5571566135594404e-10,0.00022543899056852231,0.17341922254570494,0.776903439944307,1.4466773484090554e-09,1.4466707000464462e-07,31.844997161204518
0.17,757.2911540385521,0.017536265021108007,3.19484654380973e-12,0.0349928101317908,8.454847687030785e-11,0.0001594383945863028,0.171196547504475,0.776114810599325,1.2699210541956462e-09,1.2699105064157332e-07,32.06991389013219
0.18,782.1606795699873,0.01854865388702661,4.430024253972806e-12,0.03701526845789835,9.338354728117932e-11,0.00016407712392545054,0.16895776070243546,0.7753141044577084,1.3393369543996855e-09,1.3393385508664003e-07,32.293130941571455
0.19,803.3182883444381,0.019555550836500565,3.9297725035843114e-11,0.0386788407082313,6.882517565537529e-10,0.0008645166605048457,0.16652047193245556,0.7743802101194629,4.0496618893357704e-09,4.0496563344627534e-07,32.484891584746045
0.2,829.8574804571103,0.020565813359446326,2.3682842952157866e-11,0.04091238722341688,3.232363686432855e-10,0.0004384760626174801,0.16441676998734864,0.7736663129843828,2.376592724999711e-09,2.3765927586056897e-07,32.72642675097905
0.21,855.0517709537208,0.021573033471665285,1.0697433135551377e-11,0.04303003623143683,1.1570461934591031e-10,0.0002320595374940357,0.16225329549183717,0.7729114036765142,1.6976778074092948e-09,1.6976697251054145e-07,32.95515767099576
0.22,879.2243406902928,0.022577392484781862,1.1949390013132237e-11,0.0450623318100841,1.0349735851507502e-10,0.00018490452915879887,0.1600479305068862,0.772127275862332,1.6306181475110575e-09,1.6306069212181684e-07,33.172354383339304
0.23,902.164160560311,0.02357849420422132,3.2246305555556334e-11,0.04698450193786151,2.267534361391478e-10,0.0003449706877282273,0.15778705768735793,0.7713047804061155,1.9288852541372233e-09,1.9288883042330757e-07,33.3747836123621
0.24,925.6227608850356,0.02457838773989342,4.71273983456646e-11,0.04897946139447525,2.674209294042421e-10,0.0003546257171278641,0.15557436155082965,0.7705129504659681,2.1071010024943964e-09,2.1071005620744412e-07,33.57644112523127
0.25,948.6140648580238,0.025575884515358957,2.23313403665732e-11,0.050942503890515384,1.0274644768339434e-10,0.00041852874042322874,0.15335060427186684,0.7697123346578776,1.423733435035127e-09,1.423751469264604e-07,33.76701508333128
0.26,972.141308812418,0.026572327022975472,7.305032696138802e-11,0.052980154213274074,2.709730356886615e-10,0.00032899727700419983,0.15117550638313854,0.7689427987497155,2.138703340102819e-09,2.1387116554858246e-07,33.95288567618816
0.27,994.9184057413045,0.027565972996441843,5.752556436314397e-11,0.05495351851503857,1.7338318773079795e-10,0.00035685316404860984,0.14897115037919179,0.7681523355426146,1.6749603766229098e-09,1.6749679553114446e-07,34.12195244895303
0.28,1018.7047314904447,0.028559368305521846,1.3924991638090805e-10,0.05705192595375971,3.764096767224205e-10,0.00013361704032583628,0.14684321499854852,0.767411601066907,4.078402563425225e-09,2.680408750488638e-07,34.289188321950874
0.29,1040.1476775969397,0.02954746409833038,1.369432982224803e-10,0.05891024554052548,3.4398769589718195e-10,0.00036936277945720595,0.14458822746160904,0.7665844579921591,2.3925427439138773e-09,2.392544449994781e-07,34.43848383859496
